"category","title","author","postTime","chgTime","contents"
"경제","한국조선해양, 지난해 수주액 100억 달러…목표 91% 달성","KBS네이버","2021.01.01. 오후 11:56","2021.01.01. 오후 11:56","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}<iframe _src=""/main/readVod.naver?oid=056&aid=0010963797&position=1&autoPlay=true&viewType="" width=""647"" height=""363"" frameborder=""0"" marginheight=""0"" marginwidth=""0"" title=""영상 플레이어"" allowfullscreen=""true"">[KBS 울산]한국조선해양의 지난해 누적 수주액이 100억 달러를 넘어서며 지난해 수주목표의 91%를 달성했습니다.한국조선해양은 지난해 척당 가격이 1억 8,600만 달러인 LNG선을 21척이나 수주했으며, 초대형 원유운반선은 27척을 수주했습니다.한국조선해양이 수주 목표를 157억 달러에서 110억 달러로 조정하긴 했지만, 코로나19 여파를 감안하면 양호하다는 게 업계의 평가입니다.이상준 (lsjun@kbs.co.kr)▶ 더 빠르고 정확한 소식을 원하시면 KBS뉴스 구독!▶ ‘코로나19 3차 대유행’ 제대로 알아야 이긴다▶ 기후는 말한다…생존을 위한 전환 ‘탄소중립’"
"경제","“경기 하락세 1분기에는 다소 완화될 듯”","KBS네이버","2021.01.01. 오후 11:55","2021.01.01. 오후 11:55","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}<iframe _src=""/main/readVod.naver?oid=056&aid=0010963796&position=1&autoPlay=true&viewType="" width=""647"" height=""363"" frameborder=""0"" marginheight=""0"" marginwidth=""0"" title=""영상 플레이어"" allowfullscreen=""true"">[KBS 울산]울산지역 제조업체들은 코로나19 재확산으로 인한 경기 하락세가 올해 1분기에는 다소 완화될 것으로 전망하는 것으로 나타났습니다.울산상공회의소가 지역 제조업체 150곳을 대상으로 올해 1분기 기업경기전망지수를 조사한 결과 71로, 2분기 연속 올랐습니다.업종별로는 정유와 석유화학이 전 분기 대비 42포인트나 상승했고, 조선도 60포인트 상승했지만 자동차는 전 분기 대비 20포인트나 하락했습니다.이상준 (lsjun@kbs.co.kr)▶ 더 빠르고 정확한 소식을 원하시면 KBS뉴스 구독!▶ ‘코로나19 3차 대유행’ 제대로 알아야 이긴다▶ 기후는 말한다…생존을 위한 전환 ‘탄소중립’"
"경제","울산 소상공인 81%는 ‘임차인’…보증금 네 번째 높아","KBS네이버","2021.01.01. 오후 11:55","2021.01.01. 오후 11:55","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}<iframe _src=""/main/readVod.naver?oid=056&aid=0010963795&position=1&autoPlay=true&viewType="" width=""647"" height=""363"" frameborder=""0"" marginheight=""0"" marginwidth=""0"" title=""영상 플레이어"" allowfullscreen=""true"">[KBS 울산]울산지역 소상공인 5명 중 4명이 상가를 빌려 쓰는 '임차인'인 것으로 나타났습니다.통계청의 '2019년 소상공인실태조사'를 보면 울산 소상공인 가운데 사업장을 직접 소유한 소상공인은 19%에 그쳤고, 나머지 81%는 임차 사업장을 운영하는 것으로 나타났습니다.임차 사업장의 보증금은 2천 298만원으로, 전국 17개 시·도 가운데 네 번째로 높았습니다.이상준 (lsjun@kbs.co.kr)▶ 더 빠르고 정확한 소식을 원하시면 KBS뉴스 구독!▶ ‘코로나19 3차 대유행’ 제대로 알아야 이긴다▶ 기후는 말한다…생존을 위한 전환 ‘탄소중립’"
"경제","공영쇼핑 ‘2021 건강하소 행복하소’ 이벤트","부산일보네이버","2021.01.01. 오후 11:25","2021.01.01. 오후 11:25","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}공영쇼핑이 소띠해인 2021년 신축년을 맞아 경품 증정과 할인 이벤트를 진행한다고 1일 밝혔다.먼저 공영쇼핑은 1월 1일부터 3일까지 ‘2021 건강하소 행복하소’ 이벤트를 진행한다. 기간 내 구매 고객 중 2021명을 추첨해 한우 1+등급 불고기감 500g을 증정한다. 일부 상품 및 제주·도서산간 배송지는 제외한다.이와 함께 1월 11일부터 2월 5일까지 ‘보고 싶은 분들께 마음을 보내세요’ 프로그램에서 복수 구매 시 개수별로 즉시 할인해 주는 이벤트도 연다. 온라인(PC·모바일) 구매 고객이 대상으로, 동일상품을 2개 구입시 10%, 3~4개는 15%, 5개 이상은 20% 할인해준다. TV쇼핑(자동주문)할인과 중복 적용도 가능하다.한편, 모바일앱에서 앱푸시 수신 허용에 동의한 고객을 대상으로 앱다운 시 3000원 적립, 첫 구매 시 5000원 쿠폰 지급, 매일 룰렛 참여 시 최대 2000원 랜덤 적립 행사도 1월 한 달간 진행한다.공영쇼핑 관계자는 “코로나19로 인한 어려운 상황이 계속 되고 있어 이번 연말연시는 조용한 분위기 속에서 지내게 됐다”며 “비록 만날 수 없지만 보고 싶은 분들께 감사의 마음을 전하며뜻 깊은 새해 맞이하길 바란다”고 말했다.김덕준 기자 casiopea@busan.com▶ 네이버에서 부산일보 구독하기 클릭!▶ '터치 부산' 앱 출시, 부산일보 지면을 내 손 안에!▶ 부산일보 홈 바로가기"
"경제","[인사] 법제처","부산일보네이버","2021.01.01. 오후 11:19","2021.01.01. 오후 11:19","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}◆ 고위공무원 전보△경제법제국장 권태웅 △법제지원국장 윤재웅 △행정법제국 법제심의관 김성원◆ 과장급 전보△법제조정법제관 이진희 △법제교육과장 진정용.▶ 네이버에서 부산일보 구독하기 클릭!▶ '터치 부산' 앱 출시, 부산일보 지면을 내 손 안에!▶ 부산일보 홈 바로가기"
"경제","횡성군, 산모 산후 관리비 지원 확대","KBS네이버","2021.01.01. 오후 11:02","2021.01.01. 오후 11:02","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}<iframe _src=""/main/readVod.naver?oid=056&aid=0010963786&position=1&autoPlay=true&viewType="" width=""647"" height=""363"" frameborder=""0"" marginheight=""0"" marginwidth=""0"" title=""영상 플레이어"" allowfullscreen=""true"">[KBS 춘천]횡성군은 올해 산후 관리비 지원금을 기존 100만 원에서 200만 원으로 확대합니다.지원 대상은 올해 1월 1일 이후 출산을 한 산모 가운데, 1년 이상 지역에 살고 있는 산모입니다.지원 신청은 거주지 읍면 행정복지센터에서 할 수 있습니다.이현기 (goldman@kbs.co.kr)▶ 더 빠르고 정확한 소식을 원하시면 KBS뉴스 구독!▶ ‘코로나19 3차 대유행’ 제대로 알아야 이긴다▶ 기후는 말한다…생존을 위한 전환 ‘탄소중립’"
"경제","인제군, 올해부터 신규 전입자 지원 확대","KBS네이버","2021.01.01. 오후 11:02","2021.01.01. 오후 11:02","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}<iframe _src=""/main/readVod.naver?oid=056&aid=0010963785&position=1&autoPlay=true&viewType="" width=""647"" height=""363"" frameborder=""0"" marginheight=""0"" marginwidth=""0"" title=""영상 플레이어"" allowfullscreen=""true"">[KBS 춘천]인제군이 인구 늘리기를 위해 올해부터 신규 전입자에 대한 지원을 확대합니다.이에 따라, 신규 전입자에 대한 인제사랑상품권 지급액을 1인당 20만 원에서 30만 원으로 늘립니다.또, 영화관람권과 지역 특산품 지금 대상을 두 명 이상 전입 가구에서 1인 전입 가구로까지 확대합니다.김영준 (yjkim1@kbs.co.kr)▶ 더 빠르고 정확한 소식을 원하시면 KBS뉴스 구독!▶ ‘코로나19 3차 대유행’ 제대로 알아야 이긴다▶ 기후는 말한다…생존을 위한 전환 ‘탄소중립’"
"경제","올해 달라진 부동산 세금...다주택자 종부세·양도세↑","YTN네이버","2021.01.01. 오후 10:30","2021.01.01. 오후 10:30","<h4 class=""blind"">동영상 뉴스</h4><iframe _src=""/main/readVod.naver?oid=052&aid=0001533196"" width=""647"" height=""363"" frameborder=""0"" marginheight=""0"" marginwidth=""0"" title=""영상 플레이어"" allowfullscreen=""true"">// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}[앵커]지난해 부동산 시장 과열로 서울과 수도권은 물론 지방까지 전국에서 집값 상승이 이어졌습니다.올해부터는 시장 안정을 위해 종부세와 양도세가 인상되면서 다주택자의 세 부담도 늘어날 전망입니다.달라지는 부동산 세금, 김태민 기자가 정리했습니다.[기자]새해에는 다주택자를 중심으로 종부세 부담이 대폭 늘어납니다.기존 0.5~2.7%의 세율은 0.6~3%까지 오르고, 3주택자나 조정대상지역 2주택자의 종부세율은 두 배 가까이 뛰어오릅니다.조정대상지역 2주택자의 세 부담 상한도 기존 200%에서 300%까지 올라, 전년보다 최대 3배까지 세금을 더 내야 할 수 있습니다.특히 법인에 대해서는 개인 최고세율이 단일세율로 적용되고, 기본공제와 세 부담 상한이 폐지되는 등 규제가 더욱 강해졌습니다.다만 실수요 1주택자의 부담을 덜기 위해 고령자의 세액공제율은 기존보다 10%포인트씩 상향 조정됐습니다.양도소득세는 과세표준 10억 원 이상 구간이 신설되면서 최고세율이 42%에서 45%로 올라갑니다.또 6월부터는 2년 미만 보유주택의 양도소득세율과 조정대상지역 다주택자의 중과세율이 크게 오릅니다.공제조건은 더욱 까다로워집니다.3년 이상 주택을 장기보유한 1가구 1주택자에 연 8%씩 적용되던 특별공제 조건이 올해부터는 보유 기간과 거주 기간으로 나뉩니다.예를 들어 5년 동안 집을 보유하고 2년을 실거주한 사람의 양도세 공제율은 기존 40%에서 28%로 낮아집니다.또 올해부터 새로 취득한 분양권은 다주택자 여부를 판단할 때 주택 수에 포함됩니다.YTN 김태민[tmkim@ytn.co.kr]입니다.[저작권자(c) YTN & YTN plus 무단전재 및 재배포 금지] ▶ 이 시각 코로나19 확진자 현황을 확인하세요.  ▶ 대한민국 대표 뉴스 채널 YTN 생방송보기  ▶ 네이버에서 YTN 뉴스 채널 구독하기 "
"경제","지난해 수출 막판 반등...""올해 본격 회복세 기대""","YTN네이버","2021.01.01. 오후 10:30","2021.01.01. 오후 10:30","<h4 class=""blind"">동영상 뉴스</h4><iframe _src=""/main/readVod.naver?oid=052&aid=0001533195"" width=""647"" height=""363"" frameborder=""0"" marginheight=""0"" marginwidth=""0"" title=""영상 플레이어"" allowfullscreen=""true"">// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}[앵커]지난달 우리나라 수출액이 2년 만에 500억 달러를 넘는 등 막판에 회복세를 보였습니다.연간 기준으로는 2년 연속 줄었지만, 정부는 제조업 경쟁력을 바탕으로 올해 수출이 회복세를 탈 것으로 기대하고 있습니다.보도에 김장하 기자입니다[기자]뜨거운 쇳물이 쉴새 없이 뿜어져 나오고 있습니다.2천 도의 열로 철광석을 쇳물로 만드는 제선 공정입니다.하루에 4만7천 톤씩, 한 해 천7백만 톤의 쇳물을 만들어 냅니다.승용차 천7백만 대를 만들 수 있는 양입니다.[박상우 / 포스코 파이넥스2공장 사원 : 이곳 파이낸스 공장은 신기술이 우선적으로 도입되고 있는 공장이라서 더욱 자부심과 긍지를 느끼면서 근무하고 있습니다.]새해 첫날부산신항에서는 대형 크레인이 컨테이너를 배에 싣는 선적 작업이 한창입니다.화물차도 쉴새 없이 컨테이너를 운반하고 있습니다.[박호철 / 부산항만공사 글로벌사업단장 : 부산항이 세계 주요 6대 환적항만 중에 환적화물이 3% 증가했습니다. 부산항이 가지고 있는 고유한 장점들이 코로나 팬더믹 상황에서 잘 발휘가 됐기 때문에 가능했습니다.]코로나 19 여파로 큰 타격을 받았던 수출이 점차 회복세를 보이고 있습니다.지난달 수출은 12.6%, 두 자릿수 증가율로 2년 만에 500억 달러를 넘었습니다.역대 12월 수출액 중 가장 높은 수준이며 25개월 만에 두 달 연속으로 늘어난 겁니다.특히 반도체 수출이 30%나 증가하는 등 15대 품목 가운데 11개가 플러스를 나타냈습니다.[성윤모 / 산업통상자원부 장관 : 특히 지난해 12월에는 수출 500억 달러를 2년 만에 달성했습니다. 우리 수출이 본격적으로 회복세로 돌아섰다고 할 수 있겠습니다.]연간 기준으로 수출은 2년 연속 마이너스입니다.무역수지는 460억 달러에 육박하며 12년 연속 흑자를 기록했습니다.정부는 코로나19 재확산, 미·중 갈등 등 불안 요인이 남아 있지만, 세계 경제가 점차 회복된다면 우리 수출 실적도 지난해보다 개선될 것으로 기대하고 있습니다.YTN 김장하입니다.[저작권자(c) YTN & YTN plus 무단전재 및 재배포 금지] ▶ 이 시각 코로나19 확진자 현황을 확인하세요.  ▶ 대한민국 대표 뉴스 채널 YTN 생방송보기  ▶ 네이버에서 YTN 뉴스 채널 구독하기 "
"경제","강원, 소상공인의 66.2% 임차인…보증부 월세 79.8%","KBS네이버","2021.01.01. 오후 10:29","2021.01.01. 오후 10:29","// flash 오류를 우회하기 위한 함수 추가function _flash_removeCallback() {}<iframe _src=""/main/readVod.naver?oid=056&aid=0010963775&position=1&autoPlay=true&viewType="" width=""647"" height=""363"" frameborder=""0"" marginheight=""0"" marginwidth=""0"" title=""영상 플레이어"" allowfullscreen=""true"">[KBS 춘천]강원도 내 소상공인 10명 가운데 6명 이상은 사업장을 빌려 쓰는 것으로 나타났습니다.통계청의 2019년 소상공인실태조사 잠정 결과를 보면, 강원도 내 소상공인 가운데 사업장 임차 비율은 66.2% 였습니다.평균 임차료는 보증금 1,539만 원에, 월세 83만 원이었습니다.엄기숙 (hotpencil@kbs.co.kr)▶ 더 빠르고 정확한 소식을 원하시면 KBS뉴스 구독!▶ ‘코로나19 3차 대유행’ 제대로 알아야 이긴다▶ 기후는 말한다…생존을 위한 전환 ‘탄소중립’"
